node_id,node_name,latitude,longitude,reeds_ba,voltage,load_participation_factor,bus_type,area,geometry,ReEDS_Region_UPDATE,nercr,transreg,subFERC,cendiv,st,interconnect,country,usda,aggreg,last_digits_node_id,id,FromBus,ToBus,Vn [kV],Length[km],Remarks,CKT,R [pu],X [pu],B [pu],Rate1[MVA],Rate2[MVA],Add [Y/N],Type,GeomCode,Conductor,Area,ReEDS_Region,Longitude,Latitude,last_digits_ToBus
30008193,LYSSY4A     -8193,28.94446,-98.17402,,138.0,0.0,PQ,8193_ERCOT,"POINT(28.94446,-98.17402)",p65,ERCOT,ERCOT,ERCOT_S,WSC,TX,texas,USA,southern-plains,TX_S_ERCOT,8193,98,700015,8193,345138,0.0,New 345/138 kV 2W Transformer,2.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,8193
30008203,PLEASANT4A  -8203,28.99057,-98.438532,,138.0,0.001324584,PQ,8203_ERCOT,"POINT(28.99057,-98.438532)",p65,ERCOT,ERCOT,ERCOT_S,WSC,TX,texas,USA,southern-plains,TX_S_ERCOT,8203,80,700014,8203,345138,0.0,New 345/138 kV 2W Transformer,1.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,8203
30008203,PLEASANT4A  -8203,28.99057,-98.438532,,138.0,0.001324584,PQ,8203_ERCOT,"POINT(28.99057,-98.438532)",p65,ERCOT,ERCOT,ERCOT_S,WSC,TX,texas,USA,southern-plains,TX_S_ERCOT,8203,81,700014,8203,345138,0.0,New 345/138 kV 2W Transformer,2.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,8203
30008234,UVALDE4A    -8234,29.214148,-99.799176,,138.0,0.001539947,PQ,8234_ERCOT,"POINT(29.214148,-99.799176)",p65,ERCOT,ERCOT,ERCOT_S,WSC,TX,texas,USA,southern-plains,TX_S_ERCOT,8234,68,700012,8234,345138,0.0,New 345/138 kV 2W Transformer,1.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,8234
30008234,UVALDE4A    -8234,29.214148,-99.799176,,138.0,0.001539947,PQ,8234_ERCOT,"POINT(29.214148,-99.799176)",p65,ERCOT,ERCOT,ERCOT_S,WSC,TX,texas,USA,southern-plains,TX_S_ERCOT,8234,69,700012,8234,345138,0.0,New 345/138 kV 2W Transformer,2.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,8234
30008252,BRACKETT4A  -8252,29.32404,-100.393463,,138.0,0.002852423,PQ,8252_ERCOT,"POINT(29.32404,-100.393463)",p61,ERCOT,ERCOT,ERCOT_W,WSC,TX,texas,USA,southern-plains,TX_W_ERCOT,8252,63,700011,8252,345138,0.0,New 345/138 kV 2W Transformer,1.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,8252
30008252,BRACKETT4A  -8252,29.32404,-100.393463,,138.0,0.002852423,PQ,8252_ERCOT,"POINT(29.32404,-100.393463)",p61,ERCOT,ERCOT,ERCOT_W,WSC,TX,texas,USA,southern-plains,TX_W_ERCOT,8252,64,700011,8252,345138,0.0,New 345/138 kV 2W Transformer,2.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,8252
30008255,HAMILTON4A  -8255,29.374558,-100.849613,,138.0,0.011633363,PQ,8255_ERCOT,"POINT(29.374558,-100.849613)",p61,ERCOT,ERCOT,ERCOT_W,WSC,TX,texas,USA,southern-plains,TX_W_ERCOT,8255,43,700008,8255,345138,0.0,New 345/138 kV 2W Transformer,1.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,8255
30008255,HAMILTON4A  -8255,29.374558,-100.849613,,138.0,0.011633363,PQ,8255_ERCOT,"POINT(29.374558,-100.849613)",p61,ERCOT,ERCOT,ERCOT_W,WSC,TX,texas,USA,southern-plains,TX_W_ERCOT,8255,44,700008,8255,345138,0.0,New 345/138 kV 2W Transformer,2.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,8255
30044230,FLEWLN__138A-44230,29.695458,-95.821063,,138.0,0.011729504,PQ,44230_ERCOT,"POINT(29.695458,-95.821063)",p67,ERCOT,ERCOT,ERCOT_H,WSC,TX,texas,USA,southern-plains,TX_H_ERCOT,4230,168,700025,44230,345138,0.0,New 345/138 kV 2W Transformer,1.0,0.0,0.12,0,2000,2000,Y,2TF,,,,,,,4230
